image_name,class_id,confidence_score,x_min,y_min,x_max,y_max
VAIPE_P_2_13.jpg,68,0.8788,2088,233,3113,1351
VAIPE_P_2_13.jpg,44,0.894098,1729,2087,2256,2654
VAIPE_P_2_13.jpg,79,0.909995,2522,1572,3633,2210
VAIPE_P_2_13.jpg,29,0.913737,795,1065,1662,1693
VAIPE_P_2_9.jpg,41,0.585696,1375,1869,1648,2196
VAIPE_P_2_9.jpg,64,0.840321,2178,1777,2656,2215
VAIPE_P_2_9.jpg,64,0.852398,1669,1682,2140,2147
VAIPE_P_2_5.jpg,41,0.851644,1866,2232,2148,2512
VAIPE_P_2_5.jpg,64,0.85984,874,851,1210,1156
VAIPE_P_2_5.jpg,64,0.888859,1605,1796,1959,2124
VAIPE_P_2_1.jpg,65,0.552981,734,3055,1292,3645
VAIPE_P_2_1.jpg,64,0.814263,736,3054,1287,3648
VAIPE_P_2_1.jpg,64,0.860382,1289,1804,1818,2322
VAIPE_P_2_10.jpg,64,0.861188,1759,2244,2299,2795
VAIPE_P_2_10.jpg,41,0.869473,1282,2041,1671,2476
VAIPE_P_2_10.jpg,64,0.876831,892,1640,1413,2141
VAIPE_P_3_3.jpg,22,0.904487,345,647,447,750
VAIPE_P_3_3.jpg,62,0.904772,469,261,657,586
VAIPE_P_3_3.jpg,11,0.906572,260,704,366,811
VAIPE_P_3_3.jpg,99,0.925332,456,782,578,915
VAIPE_P_3_3.jpg,26,0.926902,166,584,354,784
VAIPE_P_0_16.jpg,56,0.865989,1121,1671,1646,2261
VAIPE_P_6_0.jpg,61,0.925864,2749,1555,3704,2579
VAIPE_P_6_0.jpg,89,0.932929,2348,907,3362,1396
VAIPE_P_6_0.jpg,61,0.942295,1574,1009,2684,1838
VAIPE_P_6_0.jpg,89,0.94677,2459,1354,3288,2296
VAIPE_P_8_2.jpg,45,0.879282,1220,2452,1518,2744
VAIPE_P_8_2.jpg,38,0.89647,923,2001,1243,2601
VAIPE_P_8_2.jpg,54,0.91873,1257,2016,1734,2481
VAIPE_P_1_3.jpg,51,0.889552,1398,1185,1589,1374
VAIPE_P_1_3.jpg,104,0.894799,443,1562,1038,1856
